,0,1,2,3,4,5,6,7,8,9
agent_148,566734.6633667477,560331.9872972028,554089.3781293966,548002.8341907855,542068.4538506398,536282.4330189977,530641.0627081466,525140.7266550668,519777.899003314,514549.14204285503
agent_149,307964.4990099904,305214.69840090413,302533.64280704496,299919.6136030323,297370.93512911996,294885.9736170554,292463.1361427925,290100.8696053861,287797.6597314149,285552.030104293
agent_150,405021.39211917564,405616.8106068113,406197.3436322561,406763.36333206476,407315.2325393782,407853.30501650885,408377.9256817112,408889.43083028344,409388.1483501414,409874.39793200296
agent_151,18317.748134778914,21952.010953302557,25495.41720136311,28950.238293222148,32318.68885778471,35602.928158233204,38805.06147617049,41927.14146115935,44971.16944652348,47939.096732253514
agent_152,377876.4233331447,379366.77675411204,380819.87133955525,382236.63856036233,383617.98660064925,384964.80093992903,386277.94492072676,387558.2603020046,388806.5677987505,390023.6676080777
agent_153,26881.00379292952,36472.464597229045,45824.13888142109,54942.02130850833,63831.95667491839,72499.6436571682,80950.63846486177,89190.358402363,97224.08534142669,105056.96910701379
agent_154,20008.339757976843,24547.362012158068,28972.90870998476,33287.816740365786,37494.85206998729,41596.71151636825,45596.02447658968,49495.354612805575,53297.201495616086,57004.00220635632
agent_155,64165.0158762663,70089.85505783078,75866.57325985614,81498.87350683089,86990.36624763126,92344.57166991162,97564.92195663496,102654.76348619023,107617.3589775066,112455.88958154008
agent_156,54267.881397526544,58741.63077884391,63103.53642562834,67356.39443124316,71502.9309867176,75545.80412830519,79487.60544135308,83330.86172157478,87078.03659479093,90731.53209617668
agent_157,101952.7747548623,107697.94122516108,113299.47853370238,118760.97740953015,124085.93881346223,129277.776182296,134339.81761690893,139275.30801565654,144087.41115443548,148779.21171474495
agent_158,119492.63585477027,124436.65875147801,129257.08107576806,133956.99284195085,138539.4068139791,143007.26043670662,147363.41771886597,151610.67106897134,155751.74308532407,159789.28830126798
agent_159,2030047.2551551473,1986662.3440109089,1944362.0556452763,1903119.2744887846,1862907.5628612053,1823701.1440243153,1785474.8856583475,1748204.283751529,1711865.446892381,1676435.0809547117
agent_160,310109.2072718953,309343.0326095687,308596.0123138002,307867.66752542596,307157.53135676106,306465.1485923128,305790.0753969758,305131.87903152214,304490.13757520483,303864.43965529546
agent_161,657848.5282721653,648365.0702072192,639118.6985938967,630103.4862709073,621313.6542559926,612743.5680414508,604387.7339822726,596240.7957745738,588297.5310220675,580552.8478883739
agent_162,544776.8367885876,537241.7135239502,529894.9683409287,522731.8917874827,515747.8921478729,508938.4924992533,502299.32784184924,495826.1423008802,489514.7863984355,483361.2143935518
